type,first-name-and-last-name,source-where-i-found,gender,education,birthplace,most-famous-pieces,example_art,travels,family,museums,auctions,genres,sources-of-data
artists,Iван Марчук,https://t.me/moja_ukraina/1943,M, Львівське училище прикладного мистецтва імені Івана Труша; Львівський інститут прикладного мистецтва;,с. Лановецької громади Кременецького району Тернопільської області,цикл «Голос моєї Душі»; цикл «Пейзаж»; цикл «Цвітіння»; «Місячні квіти»; «Єва»;,https://gdb.rferl.org/44d4e695-7cd9-42c9-92c0-0ceaffd5a0cc_w1023_r0_s.jpg;https://uploads2.wikiart.org/00317/images/ivan-marchuk/holy-mother-of-god-composition-458-1997.jpg!Large.jpg;https://uploads1.wikiart.org/00285/images/ivan-marchuk/art-lviv-online-ivan-marchuk-probudzhennia-1992-1.jpg!Large.jpg;https://uploads7.wikiart.org/00317/images/ivan-marchuk/long-time-till-spring-2011.jpg!Large.jpg;https://uploads3.wikiart.org/00285/images/ivan-marchuk/art-lviv-online-ivan-marchuk-miciachni-kvity-1976-1.jpg!Large.jpg;https://uploads4.wikiart.org/00317/images/ivan-marchuk/landscape-1980.jpg!Large.jpg;,Австралія; Канада; США;,народився в родині відомого в громаді ткача; ,в рідному селі Москалівці Тернопільської області є перший музей імені Івана Марчука;,https://l-art.kiev.ua/marchuk-ivan-stepanovich-u;,"Пльонтанізм; примітивізм; реалізм, гіперреалізм; абстракціонізм; абстрактний експресіонізм; сюрреалізм; абстрактний сюрреалізм;",
artists,Антон Яцик,https://t.me/moja_ukraina/1940,M,Коломийський педагогічний коледж; Інститут культури і мистецтв в Івоно-Франківські;,смт.Обертин Тлумацького району Івано-Франківської області,"""Груши""; ""Зимовий пейзаж"" ; ""За мрією"" ; ""Літній вечір"" ; ""Девіль""",https://artstorepro.com/upload/iblock/d7f/d7f5a010558a088b73a707b519428357.jpg;https://artstorepro.com/upload/iblock/6ef/6ef312263ace64c5cb261ec4f65df70a.jpg;https://artstorepro.com/upload/iblock/b26/b26d252b2ef3d1014f2b3de86331cbce.jpg;https://ams3.digitaloceanspaces.com/sverediuk-space/wp-content/uploads/2020/10/09213544/za-mriyeyu.jpg;https://ams3.digitaloceanspaces.com/sverediuk-space/wp-content/uploads/2020/10/09213622/devil.jpg;https://ams3.digitaloceanspaces.com/sverediuk-space/wp-content/uploads/2020/10/09214300/116270256_2691079861171603_2918334136275265143_n.jpg;,,"народився в в сім'ї художника, історика та етнографа;",Івано-Франківськ;,,,https://joseartgallery.com/ru/artists/anton-yatsyk; https://huxley.media/ukraina-zarisovki-anton-jacyk-hudozhnik-iz-ivano-frankovska-o-samom-krasivom-parke-strany-o-tom-pochemu-v-gorode-vse-ne-mestnye-i-shvejcarii-kak-ideale/
artists,Михайло Бубело-Гермашев,https://t.me/moja_ukraina/1934,M,"Московське училище живопису, скульптури та архітектури;",м. Вовчанськ Харківська губернія,"""Сніг випав""; ""Сірий день"" ; ""Незамерзла річка"" ; ""Дощовий день"" ; ""До весни""; ",https://uk.wikipedia.org/wiki/%D0%93%D0%B5%D1%80%D0%BC%D0%B0%D1%88%D0%B5%D0%B2_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%9C%D0%B0%D1%80%D0%BA%D1%96%D1%8F%D0%BD%D0%BE%D0%B2%D0%B8%D1%87#/media/%D0%A4%D0%B0%D0%B9%D0%BB:Sneg-vypal-1897.jpg,Париж; Франція;,народився в дворянській сім'ї;,,https://artinvestment.ru/auctions/856,Реалізм;,https://artchive.ru/artists/13876~Mikhail_Markianovich_Germashev_Bubello/biography
artists,Костянтин Крижицький,https://t.me/moja_ukraina/1931,M,Імператорська Академія мистецтв;,м. Київ,"«Дуби»; ""Вигляд Подільської губернії""; ""Обрив""; ""Річка Буг""; ""Українські будиночки"";",https://ukrainart.com.ua/image/data/product_images2/50h70_les_zumoy_peyz.jpg,Париж; ,,В Державному Російському музеї ,https://ukrainart.com.ua/kryzhitsky-konstantin.html,Реалізм;,"https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%B6%D0%B8%D1%86%D0%BA%D0%B8%D0%B9,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%AF%D0%BA%D0%BE%D0%B2%D0%BB%D0%B5%D0%B2%D0%B8%D1%87"
artists,Костянтин Трутовський,https://t.me/moja_ukraina/1930,M,Імператорська Академія мистецтв;,с. Яківлівка Обоянський повіт  Курська губернія,"«Хоровод у Малоросії»; «Колядки в Малоросії»; «У робочу пору»; «Сорочинський ярмарок»;
""Побачення""; ""Поміщики-політики""; ""Біля тину"";","https://uain.press/_uploads/2022/02/Kostyantin-Trutovskij-1-horovod.jpg;
https://uain.press/_uploads/2022/02/Kostyantin-Trutovskij-2-kolyadki_malorossii.jpg;
https://uain.press/_uploads/2022/02/Kostyantin-Trutovskij-3-na-kladke.jpg;
https://uain.press/_uploads/2022/02/Kostyantin-Trutovskij-9.jpg;
https://uain.press/_uploads/2022/02/Kostyantin-Trutovskij-5-Bilya-kolodyazya.jpg;
https://uain.press/_uploads/2022/02/Kostyantin-Trutovskij-8-1.jpg;
https://uain.press/_uploads/2022/02/Kostyantin-Trutovskij-7-1.jpg;",,,Москва,https://violity.com/112087787-kostyantin-trutovskij-nabir-1976,Реалізм;,"https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D1%83%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
artists,Микола Шелест,https://t.me/moja_ukraina/1926,M,Київське училище прикладного мистецтва;,с. Губіниха Дніпропетровської області,"""Вечеріє""; ""Натюрморт з кавуном""; ""Дух волі""; цикли: «Живописна Україна»; «По Франції»;
""Дорогами Польщі""; ""Натюрморти України""; ""За мотивами лемківських народних пісень"";","https://ams3.digitaloceanspaces.com/sverediuk-space/wp-content/uploads/2021/10/26182629/gustynskyj-monastyr.jpg;
https://ams3.digitaloceanspaces.com/sverediuk-space/wp-content/uploads/2021/10/26182717/kony.jpg;
https://ams3.digitaloceanspaces.com/sverediuk-space/wp-content/uploads/2021/10/26182757/nad-rechkoj-sejm.jpg;
https://ams3.digitaloceanspaces.com/sverediuk-space/wp-content/uploads/2021/10/26183223/natyurmort-ukraynskymy-varenykamy.jpg;",,,,https://violity.com/107364441-mikola-shelest-zhivopis---grafika,Реалізм;,https://art-nostalgie.com.ua/Shelest.html
artists,Олександр Мурашко,https://t.me/moja_ukraina/1911,M,Петербурзька академія мистецтв;,м. Київ,"""Карусель""; ""Похорон кошового""; ""Автопортрет""; ""Сільська сім'я"";
«Портрет дівчини у червоному капелюсі»; «Благовіщення»;","https://i.pinimg.com/originals/d1/18/02/d118029620432f7dd1e69a9517ad30e7.jpg;
https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D1%83%D1%80%D0%B0%D1%88%D0%BA%D0%BE._%D0%9A%D0%B2%D1%96%D1%82%D0%BA%D0%B0%D1%80%D0%BA%D0%B8.jpg/770px-%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D1%83%D1%80%D0%B0%D1%88%D0%BA%D0%BE._%D0%9A%D0%B2%D1%96%D1%82%D0%BA%D0%B0%D1%80%D0%BA%D0%B8.jpg?20140515130841;
https://uain.press/_uploads/2021/09/3Oleksandr_Murashko._Pohoron_koshovogo._Oleksandr_Murashko._Burial_of_a_Kish_Otaman.jpg;
https://uain.press/_uploads/2021/09/4aGg1567666641Pui.jpeg;
https://uain.press/_uploads/2021/09/8Olexandr_murashko_Zyma.jpg;
https://uain.press/_uploads/2021/09/16Olexandr_murashko_Zhinka_z_kvitamy.jpg;",Париж; Європа;,,,,Реалізм; Імпресіонізм,https://artchive.ru/oleksandrmurashko
artists,Саміра Янушкова ,https://t.me/moja_ukraina/1906,F,Дніпровський національний університет імені Олеся Гончара;,м. Дніпро,«На задньому дворі»; «Хмарна акварель»; «Ранок»;  «Осінній очерет»; «Джерело»; «Поворот річки»;,"https://www.dnipro.libr.dp.ua/upload/images/ZUM/ShevchenkoOk/Samira_Yanushkova/1Mistsedeteplotadobre.jpg;
https://www.dnipro.libr.dp.ua/upload/images/ZUM/ShevchenkoOk/Samira_Yanushkova/7AkvarelVilna.jpg;
https://www.dnipro.libr.dp.ua/upload/images/ZUM/ShevchenkoOk/Samira_Yanushkova/9KartynaKozak.jpg;
https://www.dnipro.libr.dp.ua/upload/images/ZUM/ShevchenkoOk/Samira_Yanushkova/13AkvarelHotelUkrayina.jpg;",,,Україна,,Художник-акварельщик.,https://www.artmajeur.com/samira-yanushkova
artists,Надія Полунян-Внукова ,https://t.me/moja_ukraina/1898,F,навчалась живопису у Ліни Семенівни Бреус; закінчила курси при Львівському інституті прикладного та декоративного мистецтва,м. Ромни Сумської області,"«Найкраща в світі рідна хата»; «Стежками дитинства»; 
«Так пахне літо чебрецями, як приїжджаєш до села»; «Квіти з дитинства»;","http://svistanet.com/wp-content/uploads/2018/09/xudozhnik_Nadezhda_Poluyan-Vnukova_01.jpg;
http://svistanet.com/wp-content/uploads/2018/09/xudozhnik_Nadezhda_Poluyan-Vnukova_04.jpg;
http://svistanet.com/wp-content/uploads/2018/09/xudozhnik_Nadezhda_Poluyan-Vnukova_06.jpg;
http://svistanet.com/wp-content/uploads/2018/09/xudozhnik_Nadezhda_Poluyan-Vnukova_10.jpg;
http://svistanet.com/wp-content/uploads/2018/09/xudozhnik_Nadezhda_Poluyan-Vnukova_13.jpg;
http://svistanet.com/wp-content/uploads/2018/09/xudozhnik_Nadezhda_Poluyan-Vnukova_16.jpg;",,,,,Пейзаж; натюрморт; тематична картина; портрет;,https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D1%83%D1%8F%D0%BD-%D0%92%D0%BD%D1%83%D0%BA%D0%BE%D0%B2%D0%B0_%D0%9D%D0%B0%D0%B4%D1%96%D1%8F_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D1%96%D0%B2%D0%BD%D0%B0
artists,Юрій Клапоух,https://t.me/moja_ukraina/1896,M,Харківський військово-авіаційние інженерне училище;  Московський народний університет мистецтв;,м. Умань Черкаської області.,«Серйозні наміри»; «Спрага»; «На рибалку»; «Берізки»; «Час»,https://gamma-gallery.com/wp-content/uploads/2021/09/%D0%9A%D0%BE%D0%B7%D0%B0-%D0%B4%D0%B5%D1%80%D0%B5%D0%B7%D0%B0-550%D1%85550-2020.jpg;https://flomaster.club/uploads/posts/2022-06/1655576322_3-flomaster-club-p-yurii-klapoukh-kartini-krasivo-3.jpg;https://flomaster.club/uploads/posts/2022-06/1655576399_4-flomaster-club-p-yurii-klapoukh-kartini-krasivo-4.jpg;https://flomaster.club/uploads/posts/2022-06/1655576376_6-flomaster-club-p-yurii-klapoukh-kartini-krasivo-6.jpg;https://flomaster.club/uploads/posts/2022-06/1655576337_30-flomaster-club-p-yurii-klapoukh-kartini-krasivo-30.jpg;https://flomaster.club/uploads/posts/2022-06/1655576391_34-flomaster-club-p-yurii-klapoukh-kartini-krasivo-34.jpg;https://flomaster.club/uploads/posts/2022-06/1655576394_65-flomaster-club-p-yurii-klapoukh-kartini-krasivo-65.jpg;https://flomaster.club/uploads/posts/2022-06/thumbs/1655576398_66-flomaster-club-p-yurii-klapoukh-kartini-krasivo-66.jpg;, США; Німеччина; Австрія; Чехія; Польща; ,,Харків,,Класичний; реалістичний,https://uk.wikipedia.org/wiki/%D0%9A%D0%BB%D0%B0%D0%BF%D0%BE%D1%83%D1%85_%D0%AE%D1%80%D1%96%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
